TADIG_Code,ip_address_range
AAZOR,80.10.111.0/29
AAZOR,80.10.111.8/29
AAZOR,80.10.111.16/28
AAZOR,80.10.111.32/28
AAZOR,80.10.111.48/32
AAZOR,80.10.111.49/32
AAZOR,80.10.0.0/24
AAZOR,80.10.1.0/24
AAZOR,80.10.2.0/24
AAZOR,80.10.3.0/24
AAZOR,212.234.96.0/28
AAZOR,212.234.96.16/29
AAZOR,212.234.96.32/27
AAZOR,212.234.96.64/26
AAZOR,212.234.96.128/25
AAZOR,212.234.96.0/24
AAZOR,80.10.181.176/28
AAZOR,80.10.181.80/28
AAZOR,80.10.111.128/25
AAZOR,80.10.111.56/29
AAZOR,80.10.111.64/27
AAZOR,80.10.111.96/27
AAZTR,176.241.252.0/27
AAZTR,176.241.253.0/27
AAZTR,176.241.253.16/32
AAZTR,176.241.254.0/27
AAZTR,176.241.254.32/27
AAZTR,176.241.252.16/32
AFGAR,154.59.41.0/25
AFGAR,154.59.41.248/29
AFGAR,210.89.93.128/26
AFGEA,121.58.160.0/24
ALBAM,109.234.232.0/27
ALBAM,109.234.232.128/27
ALBAM,109.234.232.192/28
ALBAM,109.234.232.208/28
ALBEM,79.106.255.64/28
ALBEM,79.106.195.0/28
AREDU,94.201.224.0/24
AREDU,94.201.225.0/24
AREDU,94.201.254.0/27
AREDU,94.201.255.0/27
AREDU,91.73.133.16/29
AREDU,91.73.133.24/29
AREDU,91.73.134.96/28
AREDU,91.73.134.112/28
AREDU,5.30.47.128/26
AREDU,5.30.47.0/26
AREDU,94.202.115.52/32
AREDU,94.202.115.53/32
AREDU,91.72.181.64/27
AREDU,91.72.181.96/27
AREDU,94.206.6.128/25
ARETC,217.164.95.0/24
ARETC,217.164.94.0/24
ARETC,2.48.0.0/24
ARETC,86.96.240.176/28
ARETC,94.57.236.0/24
ARETC,31.219.178.0/24
ARETC,31.219.175.0/24
ARETC,217.164.92.250/32
ARETC,217.164.92.251/32
ARETC,217.164.92.252/32
ARETC,217.164.92.253/32
ARETC,217.164.91.145/32
ARETC,217.164.91.146/32
ARETC,31.219.175.240/32
ARETC,31.219.175.241/32
ARETC,217.164.93.232/31
ARETC,217.164.92.23/32
ARETC,217.164.92.24/30
ARETC,217.164.92.28/30
ARETC,217.164.92.32/32
ARETC,217.164.93.220/30
ARETC,217.164.92.135/32
ARETC,217.164.93.217/32
ARETC,217.164.93.224/32
ARETC,217.164.92.132/31
ARETC,217.164.92.134/32
ARETC,217.164.93.227/32
ARETC,217.164.93.228/31
ARETC,31.219.174.8/29
ARETC,31.219.174.16/28
ARETC,31.219.174.32/27
ARETC,31.219.174.64/32
ARETC,31.219.174.65/32
ARETC,217.164.93.236/30
ARETC,217.164.93.240/28
ARETC,31.219.174.64/27
ARETC,31.219.174.96/30
ARETC,31.219.174.100/31
ARETC,31.219.174.109/32
ARETC,31.219.174.117/32
ARETC,31.219.174.118/32
ARETC,31.219.174.124/30
ARETC,31.219.174.128/29
ARETC,31.219.174.136/31
ARETC,31.219.174.138/32
ARETC,31.219.174.140/30
ARETC,31.219.174.144/32
ARETC,31.219.174.146/31
ARETC,31.219.174.148/32
ARETC,31.219.175.80/32
ARETC,31.219.175.81/32
ARETC,31.219.175.244/32
ARETC,31.219.175.245/32
ARGCM,170.51.252.0/24
ARGCM,170.51.253.0/24
ARGCM,186.158.128.0/25
ARGCM,186.158.128.128/25
ARGCM,131.100.109.0/26
ARGCM,131.100.109.64/26
ARGCM,131.100.111.16/28
